"""forecast_date""","""target""","""target_end_date""","""location""","""type""","""quantile""","""value"""
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.01,0
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.025,0
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.05,50
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.1,186.5
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.15,211
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.2,224.999736
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.25,238
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.3,242.5
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.35,247
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.4,252.999604
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.45,256
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.5,261
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.55,266
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.6,269.000396
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.65,275
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.7,279.5
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.75,284
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.8,297.000264
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.85,311
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.9,335.5
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.95,472
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.975,542.375
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""quantile""",0.99,635.5
"""2022-07-12""","""1 wk ahead inc death""","""2022-07-23""","""01""","""point""",NA,261
